,Make,Model,Year of Manufacture,Color,Price,Location,Trim,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Interior Color,Seats,Registered Car,Second Condition,Body,Exchange Possible,VIN Chassis number
256,Lexus,RX,2015,Blue,26500000.0,Lagos,350 FWD,Front Wheel,3500cc,6,270hp,Brown,5,No,No faults,SUV,,
257,Mercedes-Benz,GLC-Class,2017,Black,42550000.0,Lagos,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Black,,,"No faults, Unpainted, Original parts",,,
258,Mercedes-Benz,GLC-Class,2017,White,49500000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted",,,
259,Mercedes-Benz,GLE-Class,2017,White,78000000.0,Lagos,AMG GLE 43 4MATIC,All Wheel,3000cc,6,362hp,Black,5,No,No faults,SUV,,
260,Lexus,ES,2008,Gold,9000000.0,Lagos,350,Front,,6,,,5,Yes,"No faults, Unpainted, Original parts",Sedan,,
261,Lexus,RX,2016,Silver,46550000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,,5,No,"No faults, Unpainted, Original parts",SUV,,
262,Mercedes-Benz,GLA-Class,2017,Gray,28000000.0,Lagos,"GLA250 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Black,,No,"No faults, Unpainted",,,
263,Mercedes-Benz,M Class,2010,Blue,13500000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,268hp,Other,5,No,No faults,SUV,Yes,
264,Mercedes-Benz,M Class,2014,Black,34000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Brown,5,No,No faults,SUV,,
265,Lexus,RX,2017,Gray,48800000.0,Lagos,350 F Sport FWD,Front Wheel,3500cc,6,295hp,Black,5,,No faults,SUV,,
266,Toyota,Highlander,2018,Blue,34600000.0,Lagos,Limited 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Gray,7-8,No,No faults,SUV,Yes,
267,Lexus,RX,2023,Silver,140000000.0,Lagos,,,,,,Red,,No,No faults,,Yes,
268,Lexus,LX,2023,Gray,338000000.0,Lagos,,,,,,Black,,No,No faults,,,
269,Toyota,Highlander,2017,Blue,33800000.0,Lagos,XLE 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Black,7-8,No,"No faults, Original parts",SUV,,
